Entity,Code,Year,Annual CO₂ emissions
Brazil,BRA,1856,227193
Brazil,BRA,1857,269048
Brazil,BRA,1858,284547
Brazil,BRA,1859,372714
Brazil,BRA,1860,434898
Brazil,BRA,1861,410068
Brazil,BRA,1862,355327
Brazil,BRA,1863,425965
Brazil,BRA,1864,479584
Brazil,BRA,1865,571897
Brazil,BRA,1866,646022
Brazil,BRA,1867,554700
Brazil,BRA,1868,752482
Brazil,BRA,1869,605044
Brazil,BRA,1870,698167
Brazil,BRA,1871,844686
Brazil,BRA,1872,858380
Brazil,BRA,1873,1029011
Brazil,BRA,1874,996022
Brazil,BRA,1875,939750
Brazil,BRA,1876,843065
Brazil,BRA,1877,878429
Brazil,BRA,1878,949458
Brazil,BRA,1879,808030
Brazil,BRA,1880,923420
Brazil,BRA,1881,1031042
Brazil,BRA,1882,948135
Brazil,BRA,1883,1170254
Brazil,BRA,1884,1282615
Brazil,BRA,1885,1215464
Brazil,BRA,1886,1236031
Brazil,BRA,1887,1315565
Brazil,BRA,1888,1283198
Brazil,BRA,1889,1860401
Brazil,BRA,1890,1713533
Brazil,BRA,1891,2072020
Brazil,BRA,1892,2145624
Brazil,BRA,1893,1969636
Brazil,BRA,1894,2308266
Brazil,BRA,1895,2188105
Brazil,BRA,1896,2615588
Brazil,BRA,1897,2734326
Brazil,BRA,1898,2681303
Brazil,BRA,1899,2612972
Brazil,BRA,1900,2272218
Brazil,BRA,1901,2314927
Brazil,BRA,1902,2554500
Brazil,BRA,1903,2442213
Brazil,BRA,1904,2639233
Brazil,BRA,1905,2871745
Brazil,BRA,1906,3248124
Brazil,BRA,1907,3722012
Brazil,BRA,1908,3729627
Brazil,BRA,1909,3825869
Brazil,BRA,1910,4584790
Brazil,BRA,1911,5383972
Brazil,BRA,1912,5477784
Brazil,BRA,1913,6107222
Brazil,BRA,1914,4657949
Brazil,BRA,1915,3211753
Brazil,BRA,1916,2735087
Brazil,BRA,1917,2840131
Brazil,BRA,1918,2656656
Brazil,BRA,1919,2967940
Brazil,BRA,1920,3964006
Brazil,BRA,1921,2886595
Brazil,BRA,1922,4026874
Brazil,BRA,1923,4792903
Brazil,BRA,1924,5319118
Brazil,BRA,1925,5341588
Brazil,BRA,1926,5469600
Brazil,BRA,1927,6038804
Brazil,BRA,1928,6083169
Brazil,BRA,1929,6337248
Brazil,BRA,1930,5787529
Brazil,BRA,1931,4772610
Brazil,BRA,1932,4780363
Brazil,BRA,1933,5177471
Brazil,BRA,1934,5158075
Brazil,BRA,1935,5378230
Brazil,BRA,1936,5617306
Brazil,BRA,1937,6731251
Brazil,BRA,1938,7179338
Brazil,BRA,1939,5614746
Brazil,BRA,1940,5654414
Brazil,BRA,1941,6280670
Brazil,BRA,1942,5866699
Brazil,BRA,1943,6474923
Brazil,BRA,1944,5895771
Brazil,BRA,1945,6822912
Brazil,BRA,1946,7460241
Brazil,BRA,1947,8947467
Brazil,BRA,1948,7847465
Brazil,BRA,1949,7366800
Brazil,BRA,1950,19659072
Brazil,BRA,1951,21659348
Brazil,BRA,1952,24934310
Brazil,BRA,1953,25218440
Brazil,BRA,1954,29675626
Brazil,BRA,1955,34023692
Brazil,BRA,1956,36608456
Brazil,BRA,1957,35977396
Brazil,BRA,1958,39053930
Brazil,BRA,1959,39017080
Brazil,BRA,1960,46851820
Brazil,BRA,1961,49134936
Brazil,BRA,1962,53610856
Brazil,BRA,1963,55519376
Brazil,BRA,1964,56621016
Brazil,BRA,1965,56272604
Brazil,BRA,1966,64153876
Brazil,BRA,1967,66021996
Brazil,BRA,1968,77210430
Brazil,BRA,1969,84071830
Brazil,BRA,1970,93466984
Brazil,BRA,1971,102313960
Brazil,BRA,1972,113992010
Brazil,BRA,1973,132029210
Brazil,BRA,1974,142980540
Brazil,BRA,1975,150287150
Brazil,BRA,1976,154561870
Brazil,BRA,1977,162313580
Brazil,BRA,1978,177060600
Brazil,BRA,1979,187727740
Brazil,BRA,1980,186127380
Brazil,BRA,1981,171261920
Brazil,BRA,1982,171439150
Brazil,BRA,1983,165851310
Brazil,BRA,1984,167524240
Brazil,BRA,1985,180064830
Brazil,BRA,1986,197183400
Brazil,BRA,1987,205911790
Brazil,BRA,1988,207640260
Brazil,BRA,1989,212015970
Brazil,BRA,1990,218657680
Brazil,BRA,1991,229393580
Brazil,BRA,1992,233600860
Brazil,BRA,1993,244305540
Brazil,BRA,1994,254002260
Brazil,BRA,1995,268677540
Brazil,BRA,1996,289310900
Brazil,BRA,1997,306949060
Brazil,BRA,1998,317359420
Brazil,BRA,1999,327255650
Brazil,BRA,2000,340182820
Brazil,BRA,2001,346165730
Brazil,BRA,2002,347764960
Brazil,BRA,2003,344644930
Brazil,BRA,2004,361434020
Brazil,BRA,2005,364370560
Brazil,BRA,2006,368870940
Brazil,BRA,2007,390573440
Brazil,BRA,2008,412637860
Brazil,BRA,2009,389775330
Brazil,BRA,2010,440269060
Brazil,BRA,2011,461911330
Brazil,BRA,2012,497468200
Brazil,BRA,2013,531568830
Brazil,BRA,2014,556525500
Brazil,BRA,2015,528173540
Brazil,BRA,2016,491744830
Brazil,BRA,2017,497254560
Brazil,BRA,2018,476600540
Brazil,BRA,2019,476723740
Brazil,BRA,2020,447999400
Brazil,BRA,2021,496562000
Brazil,BRA,2022,480058300
Brazil,BRA,2023,483991940
Brazil,BRA,2024,483011550
China,CHN,1907,19893872
China,CHN,1908,22735854
China,CHN,1909,24251576
China,CHN,1910,25009438
China,CHN,1911,24630506
China,CHN,1912,17029154
China,CHN,1913,24251576
China,CHN,1914,26718416
China,CHN,1915,25420578
China,CHN,1916,30130690
China,CHN,1917,32023448
China,CHN,1918,34747964
China,CHN,1919,37997296
China,CHN,1920,40278456
China,CHN,1921,38762732
China,CHN,1922,39971524
China,CHN,1923,46517556
China,CHN,1924,48846084
China,CHN,1925,45954840
China,CHN,1926,43660164
China,CHN,1927,45808580
China,CHN,1928,47591444
China,CHN,1929,48281828
China,CHN,1930,49558456
China,CHN,1931,51904660
China,CHN,1932,50269150
China,CHN,1933,54111180
China,CHN,1934,62382628
China,CHN,1935,72645970
China,CHN,1936,75477250
China,CHN,1937,70968650
China,CHN,1938,61365520
China,CHN,1939,74426990
China,CHN,1940,90790530
China,CHN,1941,113978570
China,CHN,1942,127613384
China,CHN,1943,108994540
China,CHN,1944,103003570
China,CHN,1945,55892210
China,CHN,1946,36107050
China,CHN,1947,41836136
China,CHN,1948,38400104
China,CHN,1949,62081100
China,CHN,1950,78835304
China,CHN,1951,102115210
China,CHN,1952,128002990
China,CHN,1953,133786500
China,CHN,1954,160881020
China,CHN,1955,190521500
China,CHN,1956,215827650
China,CHN,1957,255788690
China,CHN,1958,524624400
China,CHN,1959,720162560
China,CHN,1960,798810940
China,CHN,1961,570641150
China,CHN,1962,459625400
China,CHN,1963,456786780
China,CHN,1964,460644400
China,CHN,1965,500293700
China,CHN,1966,549466700
China,CHN,1967,460233200
China,CHN,1968,495513900
China,CHN,1969,607694340
China,CHN,1970,807963650
China,CHN,1971,909209860
China,CHN,1972,968635800
China,CHN,1973,1008268600
China,CHN,1974,1028063500
China,CHN,1975,1183153500
China,CHN,1976,1226339500
China,CHN,1977,1340715300
China,CHN,1978,1492517500
China,CHN,1979,1525417300
China,CHN,1980,1494297900
China,CHN,1981,1476280000
China,CHN,1982,1606239100
China,CHN,1983,1693746700
China,CHN,1984,1844212700
China,CHN,1985,1997193300
China,CHN,1986,2103429900
China,CHN,1987,2256629500
China,CHN,1988,2424444200
China,CHN,1989,2462150000
China,CHN,1990,2483534300
