Entity,Code,Year,Under-five mortality rate (selected)
Brazil,BRA,1934,26.44
Brazil,BRA,1935,26.23
Brazil,BRA,1936,26
Brazil,BRA,1937,25.69
Brazil,BRA,1938,25.43
Brazil,BRA,1939,25.19
Brazil,BRA,1940,24.93
Brazil,BRA,1941,24.63
Brazil,BRA,1942,24.37
Brazil,BRA,1943,24.08
Brazil,BRA,1944,23.78
Brazil,BRA,1945,23.46
Brazil,BRA,1946,23.11
Brazil,BRA,1947,22.76
Brazil,BRA,1948,22.38
Brazil,BRA,1949,22.01
Brazil,BRA,1950,21.61
Brazil,BRA,1951,21.19
Brazil,BRA,1952,20.75
Brazil,BRA,1953,20.31
Brazil,BRA,1954,19.86
Brazil,BRA,1955,19.39
Brazil,BRA,1956,18.91
Brazil,BRA,1957,18.42
Brazil,BRA,1958,17.93
Brazil,BRA,1959,17.44
Brazil,BRA,1960,16.94
Brazil,BRA,1961,16.47
Brazil,BRA,1962,16.03
Brazil,BRA,1963,15.61
Brazil,BRA,1964,15.22
Brazil,BRA,1965,14.86
Brazil,BRA,1966,14.52
Brazil,BRA,1967,14.19
Brazil,BRA,1968,13.88
Brazil,BRA,1969,13.55
Brazil,BRA,1970,13.22
Brazil,BRA,1971,12.89
Brazil,BRA,1972,12.55
Brazil,BRA,1973,12.21
Brazil,BRA,1974,11.89
Brazil,BRA,1975,11.56
Brazil,BRA,1976,11.21
Brazil,BRA,1977,10.83
Brazil,BRA,1978,10.43
Brazil,BRA,1979,10.01
Brazil,BRA,1980,9.57
Brazil,BRA,1981,9.14
Brazil,BRA,1982,8.73
Brazil,BRA,1983,8.34
Brazil,BRA,1984,7.98
Brazil,BRA,1985,7.67
Brazil,BRA,1986,7.38
Brazil,BRA,1987,7.11
Brazil,BRA,1988,6.84
Brazil,BRA,1989,6.58
Brazil,BRA,1990,6.31
Brazil,BRA,1991,6.02
Brazil,BRA,1992,5.72
Brazil,BRA,1993,5.41
Brazil,BRA,1994,5.09
Brazil,BRA,1995,4.77
Brazil,BRA,1996,4.47
Brazil,BRA,1997,4.19
Brazil,BRA,1998,3.93
Brazil,BRA,1999,3.68
Brazil,BRA,2000,3.45
Brazil,BRA,2001,3.22
Brazil,BRA,2002,3.01
Brazil,BRA,2003,2.81
Brazil,BRA,2004,2.63
Brazil,BRA,2005,2.46
Brazil,BRA,2006,2.31
Brazil,BRA,2007,2.17
Brazil,BRA,2008,2.05
Brazil,BRA,2009,1.95
